name,description,homepage,num_install_30d,num_install_90d,num_install_365d,num_install_on_request_30d,num_install_on_request_90d,num_install_on_request_365d,generated_date
archi-steam-farm,Application for idling Steam cards from multiple accounts simultaneously,https://github.com/JustArchiNET/ArchiSteamFarm,30,56,167,29,55,166,2021-08-21
archivemount,File system for accessing archives using libarchive,https://www.cybernoia.de/software/archivemount.html,1,4,163,1,4,159,2021-08-21
archiver,"Cross-platform, multi-format archive utility",https://github.com/mholt/archiver,57,137,518,57,137,519,2021-08-21
arduino-cli,Arduino command-line interface,https://github.com/arduino/arduino-cli,454,1741,10584,454,1739,10567,2021-08-21
argo,Get stuff done with container-native workflows for Kubernetes,https://argoproj.io,1718,4507,15743,1695,4440,15558,2021-08-21
argocd,GitOps Continuous Delivery for Kubernetes,https://argoproj.io,3791,11195,35087,3760,11108,34764,2021-08-21
argocd-autopilot,Opinionated way of installing Argo CD and managing GitOps repositories,https://argoproj.io,109,348,348,109,348,348,2021-08-21
argocd-vault-plugin,Argo CD plugin to retrieve secrets from Secret Management tools,https://ibm.github.io/argocd-vault-plugin,30,66,66,30,66,66,2021-08-21
argon2,Password hashing library and CLI utility,https://github.com/P-H-C/phc-winner-argon2,20201,61827,261071,182,630,2121,2021-08-21
argp-standalone,Standalone version of arguments parsing functions from GLIBC,https://www.lysator.liu.se/~nisse/misc/,407,1073,5277,177,388,1782,2021-08-21
argtable,ANSI C library for parsing GNU-style command-line options,https://argtable.sourceforge.io,69,255,1258,30,78,394,2021-08-21
argus,Audit Record Generation and Utilization System server,https://qosient.com/argus/,6,23,84,6,23,84,2021-08-21
argus-clients,Audit Record Generation and Utilization System clients,https://openargus.org,7,35,195,7,35,195,2021-08-21
argyll-cms,ICC compatible color management system,https://www.argyllcms.com/,76,460,1002,31,213,452,2021-08-21
aria2,Download with resuming and segmented downloading,https://aria2.github.io/,3856,9979,30772,3789,9816,29971,2021-08-21
arm-linux-gnueabihf-binutils,FSF/GNU binutils for cross-compiling to arm-linux,https://www.gnu.org/software/binutils/binutils.html,362,1058,3489,362,1058,3487,2021-08-21
armadillo,C++ linear algebra library,https://arma.sourceforge.io/,1161,3919,16876,865,2883,11333,2021-08-21
armor,"Uncomplicated, modern HTTP server",https://github.com/labstack/armor,18,31,142,18,31,143,2021-08-21
arp-scan,ARP scanning and fingerprinting tool,https://github.com/royhills/arp-scan,666,2016,9328,664,2011,9282,2021-08-21
arp-sk,ARP traffic generation tool,https://web.archive.org/web/20180223202629/sid.rstack.org/arp-sk/,7,21,139,7,21,137,2021-08-21
arpack,Routines to solve large scale eigenvalue problems,https://github.com/opencollab/arpack-ng,3886,14649,72523,608,2433,11823,2021-08-21
arping,Utility to check whether MAC addresses are already taken on a LAN,https://github.com/ThomasHabets/arping,662,2324,6116,660,2314,6049,2021-08-21
arpoison,UNIX arp cache update utility,http://www.arpoison.net/,678,1873,27220,678,1873,27218,2021-08-21
arrayfire,General purpose GPU library,https://arrayfire.com,15,38,281,15,36,273,2021-08-21
arss,Analyze a sound file into a spectrogram,https://arss.sourceforge.io/,4,21,161,4,21,161,2021-08-21
artifactory,Manages binaries,https://www.jfrog.com/artifactory/,135,403,1335,135,403,1297,2021-08-21
arturo,"Simple, modern and portable programming language for efficient scripting",https://github.com/arturo-lang/arturo,7,40,201,7,40,201,2021-08-21
arx-libertatis,"Cross-platform, open source port of Arx Fatalis",https://arx-libertatis.org/,26,67,272,26,67,272,2021-08-21
as-tree,Print a list of paths as a tree of paths 🌳,https://github.com/jez/as-tree,46,119,233,46,119,232,2021-08-21
ascii,List ASCII idiomatic names and octal/decimal code-point forms,http://www.catb.org/~esr/ascii/,59,214,875,58,213,875,2021-08-21
asciidoc,Formatter/translator for text files to numerous formats. Includes a2x,https://asciidoc.org/,763,2674,27190,486,1574,14606,2021-08-21
asciidoctor,Text processor and publishing toolchain for AsciiDoc,https://asciidoctor.org/,3651,9788,22483,1926,4853,15359,2021-08-21
asciidoctorj,Java wrapper and bindings for Asciidoctor,https://github.com/asciidoctor/asciidoctorj,64,123,441,64,123,442,2021-08-21
asciinema,Record and share terminal sessions,https://asciinema.org,1030,3301,25161,1030,3299,24988,2021-08-21
asciiquarium,Aquarium animation in ASCII art,https://robobunny.com/projects/asciiquarium/html/,263,1236,3837,263,1237,3837,2021-08-21
asciitex,Generate ASCII-art representations of mathematical equations,https://asciitex.sourceforge.io,13,31,69,13,31,69,2021-08-21
asdf,"Extendable version manager with support for Ruby, Node.js, Erlang & more",https://asdf-vm.com/,12252,29982,96244,12230,29919,96046,2021-08-21
asimov,Automatically exclude development dependencies from Time Machine backups,https://github.com/stevegrunwell/asimov,70,226,1064,70,226,1066,2021-08-21
asio,Cross-platform C++ Library for asynchronous programming,https://think-async.com/Asio,507,1982,8454,460,1785,7455,2021-08-21
ask-cli,CLI tool for Alexa Skill Kit,https://www.npmjs.com/package/ask-cli,192,255,1610,192,255,1609,2021-08-21
asn1c,Compile ASN.1 specifications into C source code,https://lionet.info/asn1c/blog/,16,34,172,16,34,168,2021-08-21
aspcud,Package dependency solver,https://potassco.org/aspcud/,337,959,3139,162,429,1505,2021-08-21
aspectj,Aspect-oriented programming for Java,https://www.eclipse.org/aspectj/,25,71,270,25,72,269,2021-08-21
aspell,Spell checker with better logic than ispell,http://aspell.net/,23563,72272,316933,1027,3159,14416,2021-08-21
asroute,CLI to interpret traceroute -a output to show AS names traversed,https://github.com/stevenpack/asroute,12,48,219,12,47,218,2021-08-21
assh,"Advanced SSH config - Regex, aliases, gateways, includes and dynamic hosts",https://manfred.life/assh,54,159,1128,54,159,1118,2021-08-21
assimp,Portable library for importing many well-known 3D model formats,https://www.assimp.org/,27911,59863,151434,349,1139,5789,2021-08-21
astrometry-net,Automatic identification of astronomical images,https://github.com/dstndstn/astrometry.net,40,205,1036,40,206,1033,2021-08-21
